Tỉnh,Thành phố nên dùng làm CITY
An Giang,Long Xuyen
Bà Rịa - Vũng Tàu,Vung Tau
Bắc Giang,Bac Giang
Bắc Kạn,Bac Kan
Bạc Liêu,Bac Lieu
Bắc Ninh,Bac Ninh
Bến Tre,Ben Tre
Bình Định,Quy Nhon
Bình Dương,Thu Dau Mot
Bình Phước,Dong Xoai
Bình Thuận,Phan Thiet
Cà Mau,Ca Mau
Cần Thơ,Can Tho
Cao Bằng,Cao Bang
Đà Nẵng,Da Nang
Đắk Lắk,Buon Ma Thuot
Đắk Nông,Gia Nghia
Điện Biên,Dien Bien Phu
Đồng Nai,Bien Hoa
Đồng Tháp,Cao Lanh
Gia Lai,Pleiku
Hà Giang,Ha Giang
Hà Nam,Phu Ly
Hà Nội,Ha Noi
Hà Tĩnh,Ha Tinh
Hải Dương,Hai Duong
Hải Phòng,Hai Phong
Hậu Giang,Vi Thanh
Hòa Bình,Hoa Binh
Hồ Chí Minh,Ho Chi Minh
Hưng Yên,Hung Yen
Khánh Hòa,Nha Trang
Kiên Giang,Rach Gia
Kon Tum,Kon Tum
Lai Châu,Lai Chau
Lâm Đồng,Da Lat
Lạng Sơn,Lang Son
Lào Cai,Lao Cai
Long An,Tan An
Nam Định,Nam Dinh
Nghệ An,Vinh
Ninh Bình,Ninh Binh
Ninh Thuận,Phan Rang-Thap Cham
Phú Thọ,Viet Tri
Phú Yên,Tuy Hoa
Quảng Bình,Dong Hoi
Quảng Nam,Tam Ky / Hoi An
Quảng Ngãi,Quang Ngai
Quảng Ninh,Ha Long
Quảng Trị,Dong Ha
Sóc Trăng,Soc Trang
Sơn La,Son La
Tây Ninh,Tay Ninh
Thái Bình,Thai Binh
Thái Nguyên,Thai Nguyen
Thanh Hóa,Thanh Hoa
Thừa Thiên Huế,Hue
Tiền Giang,My Tho
Trà Vinh,Tra Vinh
Tuyên Quang,Tuyen Quang
Vĩnh Long,Vinh Long
Vĩnh Phúc,Vinh Yen
Yên Bái,Yen Bai
